Cliff,Barker,0
Tom,Barker,-0.9
Charles,Barkley,80.5
Erick,Barkley,-0.1
Don,Barksdale,0
Harrison,Barnes,4.6
Harry,Barnes,0
Jim,Barnes,0
Marvin,Barnes,6.1
Matt,Barnes,10.7
Dick,Barnett,0.0
Jim,Barnett,1.1
Nathaniel,Barnett,-0.1
John,Barnhill,0
Norton,Barnhill,0.0
Leo,Barnhorst,0
John,Barr,0
Mike,Barr,0.5
Moe,Barr,0
Andre,Barrett,-0.2
Ernie,Barrett,0
Mike,Barrett,0
RJ,Barrett,-1.0
Earl,Barron,-2.8
Dana,Barros,18.0
Brent,Barry,27.7
Drew,Barry,-0.2
Jon,Barry,13.4
Rick,Barry,24.8
Ed,Bartels,0
Vic,Bartolome,0
Will,Barton,6.2
Eddie,Basden,0.0
Jerry,Baskerville,-0.1
Brandon,Bass,5.1
Tim,Bassett,-1.0
Maceo,Baston,0.2
Mengke,Bateer,-0.8
Billy Ray,Bates,2.1
Keita,Bates-Diop,0.0
Esteban,Batista,-0.7
Mike,Batiste,-0.5
Tony,Battie,0.8
Shane,Battier,28.2
John,Battle,0.1
Kenny,Battle,0.7
Dave,Batton,0.0
Lloyd,Batts,0.0
Nicolas,Batum,22.6
Johnny,Baum,0.1
Frankie,Baumholtz,0
Lonny,Baxter,-1.2
Jerryd,Bayless,1.1
Elgin,Baylor,0
Howard,Bayne,0
Aron,Baynes,-0.2
Sergei,Bazarevich,0.0
Kent,Bazemore,2.1
Darius,Bazley,-0.1
Ed,Beach,0
Bradley,Beal,17.0
Al,Beard,0
Butch,Beard,6.2
Ralph,Beard,0
Charles,Beasley,0
Jerome,Beasley,0.0
John,Beasley,0.0
Malik,Beasley,0.8
Michael,Beasley,0.9
Zelmo,Beaty,2.3
Rodrigue,Beaubois,1.4
Byron,Beck,2.3
Corey,Beck,-0.3
Ernie,Beck,0
Arthur,Becker,0
Moe,Becker,0
Bob,Bedell,0
William,Bedford,-1.8
Hank,Beenders,0
Ron,Behagen,-0.2
Elmer,Behnke,0
Marco,Belinelli,3.3
Charlie,Bell,1.0
Dennis,Bell,-0.1
Jordan,Bell,1.2
Raja,Bell,3.5
Troy,Bell,-0.2
Whitey,Bell,0
Walt,Bellamy,1.1
DeAndre',Bembry,-0.8
Irv,Bemoras,0
Leon,Benbow,-0.2
Dragan,Bender,-1.9
Jonathan,Bender,-0.6
Jerrelle,Benimon,0.0
Benoit,Benjamin,4.8
Corey,Benjamin,-1.6
Anthony,Bennett,-1.3
Elmer,Bennett,-0.2
Mario,Bennett,0.2
Mel,Bennett,-2.0
Spider,Bennett,0
Tony,Bennett,-0.3
Winston,Bennett,-1.8
David,Benoit,0.0
Keith,Benson,0.0
Kent,Benson,8.8
Ben,Bentil,-0.1
Gene,Berce,0
Gary,Bergen,0
Larry,Bergh,0
Ricky,Berry,0.1
Walter,Berry,1.2
Dairis,Bertāns,-0.3
Dāvis,Bertāns,4.2
Del,Beshore,-0.7
Travis,Best,6.0
Patrick,Beverley,9.0
Sim,Bhullar,0.0
Wesley,Bialosuknia,0
Al,Bianchi,0
Hank,Biasatti,0
Henry,Bibby,1.8
Mike,Bibby,23.8
Ed,Biedenbach,0
Andris,Biedriņš,4.6
Don,Bielke,0
Bob,Bigelow,-0.2
Lionel,Billingy,-0.6
Chauncey,Billups,43.5
Dave,Bing,5.6
Joe,Binion,0.0
Khem,Birch,0.5
Jabari,Bird,0.0
Jerry,Bird,0
Larry,Bird,77.2
