268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
0.1 Stan Pietkiewicz, Stan Brown, Stan Kimbrough, Stan Miasek, Stan Noszka
0.1 Donald Royal, Donald Sidle, Donald Sloan, Donald Whiteside, Donald Washington
0.1 Art Williams, Art Burris, Art Harris, Art Heyman, Art Hillhouse
0.1 Michael Wiley, Morlon Wiley, Gene Wiley, Jacob Wiley, Wiley Peck
0.1 Andy Walker, Andy Duncan, Andy Johnson, Andy Kostecka, Andy O'Donnell
0.1 Harry Rogers, Harry Barnes, Harry Boykoff, Harry Dinnel, Harry Donovan
0.1 Jackie Robinson, Jackie Dinkins, Jackie Moore, Jackie Moreland, Jackie Ridgle
0.1 Alan Henderson, Alan Williams, Alan Sawyer, Alan Hardy, Alan Ogg
0.1 Bud Acton, Bud Grant, Bud Koper, Bud Ogden, Bud Olsen
0.1 Hal Crisler, Hal Greer, Hal Hale, Hal Jeter, Hal Lear
0.1 Hank Beenders, Hank Biasatti, Hank DeZonie, Hank Lefkowitz, Hank Rosenstein
0.1 Howie Carl, Howie Dallmar, Howie Janotta, Howie Jolliff, Howie McCarty
0.1 Jake Bornheimer, Jake Carter, Jake Fendley, Jake Ford, Jake Jones
0.1 Kyle Guy, Guy Manning, Guy Morgan, Guy Rodgers, Guy Rucker
0.1 Leo Barnhorst, Leo Gottlieb, Leo Katkaveck, Leo Klier, Leo Kubiak
0.1 Tommy Byrnes, Tommy Kearns, Tommy Kron, Tommy O'Keefe, Tommy Woods
0.1 Whitey Bell, Whitey Kachan, Whitey Martin, Whitey Skoog, Whitey Von Nieda
0.1 A.J. Price, A.J. Wynder, A.J. Bramlett, A.J. Hammons, A.J. Guyton
0.1 Jim O'Brien, Bob O'Brien, J.J. O'Brien, Ralph O'Brien, Jimmy O'Brien
0.1 Sundiata Gaines, Bill Gaines, David Gaines, Corey Gaines, Reece Gaines
0.1 Alvin Sims, Bob Sims, Courtney Sims, Doug Sims, Scott Sims
0.1 Chuck Gardner, Earl Gardner, Kenneth Gardner, Vern Gardner, Thomas Gardner
0.1 Larry Stewart, Dennis Stewart, Kebu Stewart, Norm Stewart, Stewart Granger
0.1 Duane Ferrell, Duane Washington, Duane Klueh, Duane Causwell, Duane Cooper
0.1 Dwayne Polee, Dwayne Morton, Dwayne McClain, Dwayne Whitfield, Dwayne Jones
-1.1 Dexter Boney, Dexter Shouse, Dexter Westbrook, Dexter Cambridge, Dexter Pittman
-1.1 Mario Bennett, Spider Bennett, Elmer Bennett, Tony Bennett, Anthony Bennett
-1.1 William Smith, William Howard, William Franklin, William Cunningham, William Avery
-2.1 Danny Wagner, Phillip Wagner, Milt Wagner, Moritz Wagner, Dajuan Wagner
-2.1 Quincy Pondexter, Quincy Acy, Quincy Miller, Quincy Douby, Quincy Lewis
-2.1 David Vaughn, Chico Vaughn, Virgil Vaughn, Rashad Vaughn, David Vaughn
-4.1 Jeff Foster, Rod Foster, Fred Foster, Jimmy Foster, Greg Foster
-4.1 Moochie Norris, Sylvester Norris, Norris Coleman, Audie Norris, Norris Cole
